Text,Sentiment,Source,Date/Time,User ID,Location,Confidence Score,Product/Service,Category,Rating,Response Time (mins),Resolution Status,Cleaned_Text,Processed_Text
Website kept crashing.,Negative,ChatSupport,2023-06-19 13:27:00,user10021,New York,0.84,Customer Portal,Customer Support,5,150,Resolved,website kept crashing,website kept crashing
I will definitely recommend this to friends.,Positive,Email,2023-06-26 06:12:00,user10022,Paris,0.72,Product B,Refund,4,110,Resolved,i will definitely recommend this to friends,definitely recommend friend
Product quality is acceptable.,Neutral,Amazon Reviews,2023-06-19 14:13:00,user10024,Dubai,0.79,Gift Card,Delivery,2,145,Escalated,product quality is acceptable,product quality acceptable
Great quality and quick delivery.,Positive,Website Testimonial,2023-06-12 03:18:00,user10025,Sydney,0.7,Delivery Service,Website Experience,3,111,Escalated,great quality and quick delivery,great quality quick delivery
Product arrived damaged.,Negative,Website Testimonial,2023-06-18 12:12:00,user10026,New York,0.88,Gift Card,Customer Support,4,98,Resolved,product arrived damaged,product arrived damaged
Delivery took too long.,Negative,Amazon Reviews,2023-08-17 10:49:00,user10028,Sydney,0.93,Product B,Refund,3,102,Resolved,delivery took too long,delivery took long
"It was okay, nothing special.",Neutral,Twitter,2023-09-27 12:31:00,user10030,Mumbai,0.73,Mobile App,Technical,3,22,Resolved,it was okay nothing special,okay nothing special
Customer care was top-notch.,Positive,Amazon Reviews,2023-08-25 05:10:00,user10031,Sydney,0.89,Subscription,Product Quality,4,63,Pending,customer care was top notch,customer care top notch
"Terrible experience, very disappointed.",Negative,Spotify,2023-09-06 09:12:00,user10033,New York,0.77,Website,Billing,4,85,Resolved,terrible experience very disappointed,terrible experience disappointed
Product quality is acceptable.,Neutral,Spotify,2023-09-12 10:23:00,user10035,New York,0.84,Website,Usability,2,173,Resolved,product quality is acceptable,product quality acceptable
User experience is fantastic.,Positive,ChatSupport,2023-08-08 09:53:00,user10037,Paris,0.82,Premium Plan,Customer Support,5,6,Pending,user experience is fantastic,user experience fantastic
Neutral feeling about the experience.,Neutral,Yelp,2023-09-20 13:58:00,user10038,Dubai,0.83,Product A,Website Experience,5,128,Resolved,neutral feeling about the experience,neutral feeling experience
Service quality was consistent.,Neutral,Email,2023-09-18 17:33:00,user10040,Mumbai,0.72,Subscription,Delivery,4,118,Resolved,service quality was consistent,service quality consistent
Response time could be better.,Neutral,Email,2023-06-22 14:51:00,user10041,Sydney,0.72,Delivery Service,Customer Support,2,106,Escalated,response time could be better,response time could better
Service quality was consistent.,Neutral,Twitter,2023-09-13 03:22:00,user10043,Toronto,0.79,Premium Plan,Billing,4,127,Pending,service quality was consistent,service quality consistent
Product arrived damaged.,Negative,ChatSupport,2023-08-26 15:14:00,user10044,Los Angeles,0.83,Premium Plan,Billing,5,58,Resolved,product arrived damaged,product arrived damaged
Product quality is acceptable.,Neutral,IMDb,2023-08-17 07:46:00,user10045,New York,0.93,Customer Portal,Delivery,4,63,Resolved,product quality is acceptable,product quality acceptable
Website kept crashing.,Negative,Yelp,2023-08-10 12:10:00,user10048,Berlin,0.81,Customer Portal,Billing,4,75,Resolved,website kept crashing,website kept crashing
"It was okay, nothing special.",Neutral,Spotify,2023-09-21 20:48:00,user10049,New York,0.81,Product B,Billing,1,20,Pending,it was okay nothing special,okay nothing special
Fast and friendly communication.,Positive,Spotify,2023-09-14 05:24:00,user10050,Toronto,0.85,Website,Refund,1,128,Resolved,fast and friendly communication,fast friendly communication
Received wrong item.,Negative,Yelp,2023-07-29 16:43:00,user10051,Berlin,0.81,Mobile App,Technical,4,152,Pending,received wrong item,received wrong item
"Terrible experience, very disappointed.",Negative,TripAdvisor,2023-09-17 18:39:00,user10052,London,0.71,Website,Billing,4,57,Pending,terrible experience very disappointed,terrible experience disappointed
Fast and friendly communication.,Positive,Email,2023-09-13 20:06:00,user10054,Paris,0.71,Product B,Delivery,4,117,Resolved,fast and friendly communication,fast friendly communication
Service quality was consistent.,Neutral,Yelp,2023-06-02 10:55:00,user10055,Mumbai,0.81,Subscription,Billing,2,34,Pending,service quality was consistent,service quality consistent
"Met expectations, no issues.",Neutral,Website Testimonial,2023-07-08 18:51:00,user10056,Dubai,0.87,Product A,Website Experience,1,38,Resolved,met expectations no issues,met expectation issue
Fast and friendly communication.,Positive,Yelp,2023-07-16 13:14:00,user10057,New York,0.86,Delivery Service,Billing,2,10,Pending,fast and friendly communication,fast friendly communication
Chat was fine but not great.,Neutral,ChatSupport,2023-06-08 22:01:00,user10058,London,0.7,Customer Portal,Website Experience,3,42,Resolved,chat was fine but not great,chat fine great
Website kept crashing.,Negative,TripAdvisor,2023-06-25 10:48:00,user10059,Paris,0.89,Product A,Customer Support,5,101,Resolved,website kept crashing,website kept crashing
Response time could be better.,Neutral,Yelp,2023-08-10 16:19:00,user10060,Singapore,0.91,Website,Website Experience,3,34,Resolved,response time could be better,response time could better
"Met expectations, no issues.",Neutral,Spotify,2023-06-23 07:36:00,user10061,Berlin,0.91,Product B,Product Quality,1,33,Resolved,met expectations no issues,met expectation issue
Chat was fine but not great.,Neutral,Email,2023-06-20 13:59:00,user10062,Mumbai,0.81,Website,Delivery,3,129,Resolved,chat was fine but not great,chat fine great
Customer support never replied.,Negative,Twitter,2023-07-10 23:40:00,user10063,Los Angeles,0.88,Delivery Service,Refund,3,41,Resolved,customer support never replied,customer support never replied
Everything worked perfectly.,Positive,Spotify,2023-09-09 11:36:00,user10064,Singapore,0.9,Mobile App,Technical,4,65,Resolved,everything worked perfectly,everything worked perfectly
User experience is fantastic.,Positive,Amazon Reviews,2023-07-08 10:22:00,user10066,Toronto,0.84,Gift Card,Refund,2,61,Resolved,user experience is fantastic,user experience fantastic
Fast and friendly communication.,Positive,Email,2023-09-12 04:02:00,user10067,Los Angeles,0.76,Mobile App,Delivery,4,134,Pending,fast and friendly communication,fast friendly communication
Website kept crashing.,Negative,IMDb,2023-07-15 22:50:00,user10068,Sydney,0.91,Customer Portal,Refund,4,135,Resolved,website kept crashing,website kept crashing
"It was okay, nothing special.",Neutral,Yelp,2023-06-09 01:48:00,user10069,Singapore,0.78,Product A,Product Quality,3,163,Pending,it was okay nothing special,okay nothing special
I will definitely recommend this to friends.,Positive,IMDb,2023-06-15 17:35:00,user10070,London,0.94,Customer Portal,Product Quality,2,8,Resolved,i will definitely recommend this to friends,definitely recommend friend
Neither good nor bad.,Neutral,Spotify,2023-08-12 20:17:00,user10071,London,0.71,Website,Customer Support,3,174,Resolved,neither good nor bad,neither good bad
Chatbot was useless and unhelpful.,Negative,TripAdvisor,2023-09-05 17:10:00,user10072,Dubai,0.89,Customer Portal,Product Quality,1,96,Resolved,chatbot was useless and unhelpful,chatbot useless unhelpful
"Terrible experience, very disappointed.",Negative,Spotify,2023-09-04 09:53:00,user10073,New York,0.95,Product A,Website Experience,4,71,Resolved,terrible experience very disappointed,terrible experience disappointed
Delivery took too long.,Negative,Yelp,2023-07-12 07:45:00,user10074,New York,0.81,Premium Plan,Usability,2,64,Resolved,delivery took too long,delivery took long
Website kept crashing.,Negative,Email,2023-06-23 23:15:00,user10075,Paris,0.94,Gift Card,Usability,3,11,Resolved,website kept crashing,website kept crashing
Neutral feeling about the experience.,Neutral,Amazon Reviews,2023-07-06 22:52:00,user10076,Sydney,0.91,Premium Plan,Usability,3,157,Pending,neutral feeling about the experience,neutral feeling experience
Customer support never replied.,Negative,IMDb,2023-07-02 23:10:00,user10077,London,0.77,Product A,Delivery,4,139,Resolved,customer support never replied,customer support never replied
"Terrible experience, very disappointed.",Negative,Twitter,2023-07-04 07:31:00,user10078,Singapore,0.81,Delivery Service,Technical,2,41,Resolved,terrible experience very disappointed,terrible experience disappointed
Product arrived damaged.,Negative,Twitter,2023-09-25 11:49:00,user10080,Sydney,0.76,Delivery Service,Website Experience,4,154,Pending,product arrived damaged,product arrived damaged
Customer care was top-notch.,Positive,Twitter,2023-07-22 23:39:00,user10082,Sydney,0.9,Gift Card,Customer Support,4,110,Resolved,customer care was top notch,customer care top notch
Customer support never replied.,Negative,Twitter,2023-07-23 20:43:00,user10083,Toronto,0.79,Customer Portal,Website Experience,3,97,Pending,customer support never replied,customer support never replied
Customer care was top-notch.,Positive,Amazon Reviews,2023-09-03 19:08:00,user10084,Dubai,0.79,Premium Plan,Technical,1,101,Pending,customer care was top notch,customer care top notch
Fast and friendly communication.,Positive,Spotify,2023-06-15 04:44:00,user10085,Singapore,0.94,Website,Usability,5,74,Resolved,fast and friendly communication,fast friendly communication
Great quality and quick delivery.,Positive,Spotify,2023-09-10 02:44:00,user10086,New York,0.9,Delivery Service,Refund,1,46,Resolved,great quality and quick delivery,great quality quick delivery
Great quality and quick delivery.,Positive,Amazon Reviews,2023-08-16 06:33:00,user10088,Mumbai,0.86,Product A,Product Quality,3,102,Resolved,great quality and quick delivery,great quality quick delivery
Neither good nor bad.,Neutral,ChatSupport,2023-08-13 14:18:00,user10089,Berlin,0.81,Customer Portal,Product Quality,1,141,Resolved,neither good nor bad,neither good bad
Received wrong item.,Negative,Amazon Reviews,2023-06-07 05:34:00,user10090,Sydney,0.86,Website,Website Experience,2,108,Pending,received wrong item,received wrong item
User experience is fantastic.,Positive,TripAdvisor,2023-07-06 22:13:00,user10092,Toronto,0.75,Gift Card,Product Quality,4,67,Resolved,user experience is fantastic,user experience fantastic
Fast and friendly communication.,Positive,TripAdvisor,2023-07-09 04:16:00,user10093,Singapore,0.92,Mobile App,Technical,4,52,Pending,fast and friendly communication,fast friendly communication
Product arrived damaged.,Negative,IMDb,2023-09-17 01:26:00,user10094,Toronto,0.91,Delivery Service,Product Quality,1,166,Resolved,product arrived damaged,product arrived damaged
Fast and friendly communication.,Positive,Amazon Reviews,2023-07-19 12:04:00,user10096,Paris,0.77,Mobile App,Billing,5,26,Resolved,fast and friendly communication,fast friendly communication
Customer care was top-notch.,Positive,Email,2023-08-21 07:40:00,user10097,Los Angeles,0.81,Product A,Technical,5,39,Resolved,customer care was top notch,customer care top notch
Product quality is acceptable.,Neutral,TripAdvisor,2023-06-05 18:24:00,user10098,Toronto,0.89,Product B,Billing,1,153,Resolved,product quality is acceptable,product quality acceptable
Product arrived damaged.,Negative,Spotify,2023-09-25 14:49:00,user10099,Paris,0.83,Premium Plan,Delivery,4,62,Escalated,product arrived damaged,product arrived damaged
Customer support never replied.,Negative,Spotify,2023-09-01 11:51:00,user10100,London,0.77,Delivery Service,Website Experience,1,101,Resolved,customer support never replied,customer support never replied
Slow response from team.,Negative,ChatSupport,2023-06-02 18:03:00,user10101,London,0.89,Website,Refund,1,132,Resolved,slow response from team,slow response team
Product arrived damaged.,Negative,TripAdvisor,2023-06-17 19:26:00,user10102,Sydney,0.82,Product B,Website Experience,4,90,Resolved,product arrived damaged,product arrived damaged
Product arrived damaged.,Negative,TripAdvisor,2023-08-13 08:27:00,user10104,Paris,0.9,Subscription,Usability,1,136,Resolved,product arrived damaged,product arrived damaged
"It was okay, nothing special.",Neutral,Website Testimonial,2023-09-25 21:16:00,user10105,Berlin,0.93,Product B,Billing,2,81,Escalated,it was okay nothing special,okay nothing special
Slow response from team.,Negative,ChatSupport,2023-06-08 13:08:00,user10108,New York,0.86,Gift Card,Refund,5,128,Resolved,slow response from team,slow response team
Everything worked perfectly.,Positive,Amazon Reviews,2023-06-29 14:22:00,user10110,Toronto,0.73,Gift Card,Product Quality,4,75,Pending,everything worked perfectly,everything worked perfectly
Product arrived damaged.,Negative,Twitter,2023-07-14 23:13:00,user10111,Berlin,0.94,Customer Portal,Website Experience,4,92,Resolved,product arrived damaged,product arrived damaged
Customer support never replied.,Negative,ChatSupport,2023-07-03 03:06:00,user10112,Paris,0.94,Mobile App,Customer Support,4,5,Resolved,customer support never replied,customer support never replied
Chatbot was useless and unhelpful.,Negative,Twitter,2023-06-28 22:30:00,user10113,London,0.7,Website,Website Experience,1,67,Resolved,chatbot was useless and unhelpful,chatbot useless unhelpful
Product arrived damaged.,Negative,Email,2023-06-04 17:01:00,user10114,Singapore,0.79,Customer Portal,Delivery,5,92,Resolved,product arrived damaged,product arrived damaged
Product quality is acceptable.,Neutral,Amazon Reviews,2023-07-16 17:15:00,user10115,Berlin,0.76,Product A,Delivery,2,17,Resolved,product quality is acceptable,product quality acceptable
Great quality and quick delivery.,Positive,Yelp,2023-09-01 14:52:00,user10116,Los Angeles,0.72,Mobile App,Technical,2,47,Resolved,great quality and quick delivery,great quality quick delivery
Slow response from team.,Negative,Amazon Reviews,2023-07-18 17:18:00,user10118,Los Angeles,0.72,Premium Plan,Product Quality,4,117,Resolved,slow response from team,slow response team
Excellent support team.,Positive,Twitter,2023-08-13 10:32:00,user10120,Los Angeles,0.89,Customer Portal,Billing,1,146,Resolved,excellent support team,excellent support team
Website kept crashing.,Negative,Amazon Reviews,2023-06-26 16:58:00,user10121,Berlin,0.74,Subscription,Refund,3,14,Resolved,website kept crashing,website kept crashing
Slow response from team.,Negative,Website Testimonial,2023-07-09 19:48:00,user10123,Paris,0.72,Delivery Service,Technical,5,58,Resolved,slow response from team,slow response team
Service quality was consistent.,Neutral,IMDb,2023-09-26 11:11:00,user10124,Mumbai,0.73,Website,Billing,1,154,Resolved,service quality was consistent,service quality consistent
"Terrible experience, very disappointed.",Negative,ChatSupport,2023-07-17 08:53:00,user10125,Mumbai,0.93,Product B,Technical,1,13,Resolved,terrible experience very disappointed,terrible experience disappointed
I will definitely recommend this to friends.,Positive,TripAdvisor,2023-08-31 16:02:00,user10126,New York,0.84,Website,Billing,3,170,Resolved,i will definitely recommend this to friends,definitely recommend friend
Everything worked perfectly.,Positive,Website Testimonial,2023-08-17 01:22:00,user10127,London,0.93,Gift Card,Billing,2,60,Resolved,everything worked perfectly,everything worked perfectly
Customer care was top-notch.,Positive,Yelp,2023-09-20 11:34:00,user10128,Mumbai,0.75,Product B,Usability,2,5,Resolved,customer care was top notch,customer care top notch
Great quality and quick delivery.,Positive,TripAdvisor,2023-06-21 01:28:00,user10130,Berlin,0.86,Product B,Refund,3,160,Resolved,great quality and quick delivery,great quality quick delivery
"Met expectations, no issues.",Neutral,Email,2023-08-28 19:53:00,user10131,Paris,0.94,Delivery Service,Refund,5,136,Resolved,met expectations no issues,met expectation issue
Response time could be better.,Neutral,Yelp,2023-08-02 15:53:00,user10132,Singapore,0.9,Website,Product Quality,4,26,Resolved,response time could be better,response time could better
Neither good nor bad.,Neutral,ChatSupport,2023-07-28 15:44:00,user10133,Los Angeles,0.87,Mobile App,Usability,1,180,Resolved,neither good nor bad,neither good bad
Received wrong item.,Negative,Website Testimonial,2023-06-23 17:43:00,user10134,Toronto,0.78,Website,Usability,1,167,Resolved,received wrong item,received wrong item
Slow response from team.,Negative,Yelp,2023-06-29 18:28:00,user10135,Sydney,0.86,Product B,Customer Support,5,45,Resolved,slow response from team,slow response team
"Met expectations, no issues.",Neutral,TripAdvisor,2023-08-09 21:02:00,user10136,Dubai,0.93,Gift Card,Product Quality,3,102,Resolved,met expectations no issues,met expectation issue
Slow response from team.,Negative,Yelp,2023-08-30 15:57:00,user10137,Paris,0.91,Mobile App,Customer Support,3,119,Resolved,slow response from team,slow response team
Great quality and quick delivery.,Positive,Email,2023-07-16 06:27:00,user10138,Paris,0.81,Product B,Website Experience,2,23,Pending,great quality and quick delivery,great quality quick delivery
User experience is fantastic.,Positive,Yelp,2023-08-14 05:40:00,user10139,London,0.91,Website,Delivery,2,10,Escalated,user experience is fantastic,user experience fantastic
Neutral feeling about the experience.,Neutral,TripAdvisor,2023-06-19 19:20:00,user10142,Paris,0.95,Premium Plan,Delivery,2,159,Pending,neutral feeling about the experience,neutral feeling experience
Slow response from team.,Negative,Twitter,2023-06-16 18:36:00,user10143,New York,0.81,Product A,Delivery,2,177,Resolved,slow response from team,slow response team
Customer support never replied.,Negative,Twitter,2023-08-29 20:07:00,user10144,Paris,0.85,Subscription,Refund,3,133,Pending,customer support never replied,customer support never replied
"Met expectations, no issues.",Neutral,Website Testimonial,2023-08-14 05:15:00,user10152,Paris,0.78,Premium Plan,Billing,3,162,Resolved,met expectations no issues,met expectation issue
I will definitely recommend this to friends.,Positive,Yelp,2023-09-04 01:43:00,user10153,Berlin,0.91,Mobile App,Billing,5,17,Resolved,i will definitely recommend this to friends,definitely recommend friend
Chat was fine but not great.,Neutral,Website Testimonial,2023-08-21 06:10:00,user10154,London,0.83,Customer Portal,Delivery,1,116,Resolved,chat was fine but not great,chat fine great
Customer support never replied.,Negative,Yelp,2023-09-27 02:56:00,user10156,Paris,0.72,Customer Portal,Delivery,2,139,Pending,customer support never replied,customer support never replied
Excellent support team.,Positive,Yelp,2023-09-04 12:29:00,user10157,Berlin,0.72,Product A,Technical,3,18,Resolved,excellent support team,excellent support team
Product arrived damaged.,Negative,TripAdvisor,2023-09-17 19:53:00,user10159,Mumbai,0.75,Product A,Product Quality,1,160,Resolved,product arrived damaged,product arrived damaged
Fast and friendly communication.,Positive,Yelp,2023-09-12 03:44:00,user10161,Sydney,0.9,Subscription,Usability,1,151,Resolved,fast and friendly communication,fast friendly communication
Excellent support team.,Positive,Twitter,2023-07-27 11:28:00,user10163,Sydney,0.88,Subscription,Website Experience,5,32,Resolved,excellent support team,excellent support team
Product quality is acceptable.,Neutral,TripAdvisor,2023-09-16 10:45:00,user10164,Toronto,0.77,Premium Plan,Billing,4,18,Resolved,product quality is acceptable,product quality acceptable
Chat was fine but not great.,Neutral,Email,2023-07-18 11:17:00,user10165,Paris,0.9,Website,Customer Support,4,170,Pending,chat was fine but not great,chat fine great
Everything worked perfectly.,Positive,ChatSupport,2023-07-08 10:13:00,user10166,Dubai,0.91,Gift Card,Usability,3,82,Resolved,everything worked perfectly,everything worked perfectly
"Terrible experience, very disappointed.",Negative,Website Testimonial,2023-09-20 20:18:00,user10168,Sydney,0.73,Product A,Usability,5,69,Resolved,terrible experience very disappointed,terrible experience disappointed
Delivery took too long.,Negative,Spotify,2023-06-13 10:21:00,user10169,Paris,0.79,Product B,Website Experience,1,157,Resolved,delivery took too long,delivery took long
"It was okay, nothing special.",Neutral,ChatSupport,2023-08-15 05:36:00,user10171,Singapore,0.91,Website,Delivery,2,137,Pending,it was okay nothing special,okay nothing special
Customer care was top-notch.,Positive,Twitter,2023-06-14 08:46:00,user10172,New York,0.82,Website,Product Quality,3,73,Resolved,customer care was top notch,customer care top notch
Received wrong item.,Negative,ChatSupport,2023-06-13 19:12:00,user10174,New York,0.94,Premium Plan,Delivery,4,156,Escalated,received wrong item,received wrong item
Excellent support team.,Positive,Spotify,2023-08-15 11:45:00,user10175,Toronto,0.77,Product A,Refund,4,52,Resolved,excellent support team,excellent support team
Product quality is acceptable.,Neutral,Twitter,2023-09-09 02:20:00,user10178,New York,0.84,Customer Portal,Refund,1,54,Resolved,product quality is acceptable,product quality acceptable
Chat was fine but not great.,Neutral,Spotify,2023-07-20 23:07:00,user10179,Mumbai,0.73,Delivery Service,Delivery,3,158,Resolved,chat was fine but not great,chat fine great
User experience is fantastic.,Positive,Spotify,2023-08-01 11:29:00,user10180,London,0.77,Product B,Refund,4,141,Resolved,user experience is fantastic,user experience fantastic
Chat was fine but not great.,Neutral,IMDb,2023-08-20 10:06:00,user10181,Toronto,0.94,Product A,Customer Support,2,33,Escalated,chat was fine but not great,chat fine great
Everything worked perfectly.,Positive,Email,2023-07-17 18:31:00,user10182,Mumbai,0.72,Product A,Website Experience,3,179,Resolved,everything worked perfectly,everything worked perfectly
"It was okay, nothing special.",Neutral,ChatSupport,2023-06-02 09:18:00,user10185,Los Angeles,0.72,Website,Website Experience,5,54,Resolved,it was okay nothing special,okay nothing special
Product quality is acceptable.,Neutral,ChatSupport,2023-06-29 10:47:00,user10186,Sydney,0.73,Gift Card,Delivery,2,123,Resolved,product quality is acceptable,product quality acceptable
Product arrived damaged.,Negative,Spotify,2023-09-05 04:27:00,user10187,Singapore,0.77,Product A,Product Quality,3,178,Resolved,product arrived damaged,product arrived damaged
Customer care was top-notch.,Positive,Website Testimonial,2023-09-10 22:06:00,user10188,Los Angeles,0.86,Gift Card,Delivery,3,66,Resolved,customer care was top notch,customer care top notch
Response time could be better.,Neutral,Yelp,2023-09-10 18:11:00,user10189,Berlin,0.73,Product B,Billing,1,112,Resolved,response time could be better,response time could better
Customer care was top-notch.,Positive,Amazon Reviews,2023-07-26 22:59:00,user10190,New York,0.73,Gift Card,Refund,3,70,Resolved,customer care was top notch,customer care top notch
Great quality and quick delivery.,Positive,Amazon Reviews,2023-06-02 23:46:00,user10191,Paris,0.94,Delivery Service,Customer Support,5,146,Pending,great quality and quick delivery,great quality quick delivery
Chat was fine but not great.,Neutral,Website Testimonial,2023-09-29 17:14:00,user10192,Paris,0.75,Product B,Billing,1,45,Resolved,chat was fine but not great,chat fine great
Customer support never replied.,Negative,Website Testimonial,2023-07-30 16:33:00,user10194,Toronto,0.85,Website,Technical,2,88,Resolved,customer support never replied,customer support never replied
Customer support never replied.,Negative,Email,2023-06-21 23:26:00,user10195,Mumbai,0.92,Website,Technical,4,78,Pending,customer support never replied,customer support never replied
Excellent support team.,Positive,IMDb,2023-08-14 06:31:00,user10196,Berlin,0.82,Gift Card,Website Experience,2,44,Resolved,excellent support team,excellent support team
User experience is fantastic.,Positive,TripAdvisor,2023-07-15 02:12:00,user10197,Berlin,0.75,Mobile App,Usability,5,42,Resolved,user experience is fantastic,user experience fantastic
Delivery took too long.,Negative,Email,2023-06-24 21:16:00,user10198,New York,0.73,Website,Delivery,4,44,Resolved,delivery took too long,delivery took long
Chat was fine but not great.,Neutral,Amazon Reviews,2023-07-09 14:13:00,user10199,Paris,0.76,Product A,Usability,5,156,Resolved,chat was fine but not great,chat fine great
Great quality and quick delivery.,Positive,Email,2023-06-20 10:51:00,user10202,New York,0.82,Delivery Service,Product Quality,4,79,Resolved,great quality and quick delivery,great quality quick delivery
User experience is fantastic.,Positive,TripAdvisor,2023-08-23 03:18:00,user10203,Toronto,0.93,Product A,Billing,4,137,Escalated,user experience is fantastic,user experience fantastic
"Met expectations, no issues.",Neutral,TripAdvisor,2023-08-20 00:53:00,user10204,Paris,0.71,Gift Card,Customer Support,2,32,Escalated,met expectations no issues,met expectation issue
Delivery took too long.,Negative,Spotify,2023-09-21 15:18:00,user10205,Sydney,0.81,Mobile App,Product Quality,3,32,Resolved,delivery took too long,delivery took long
Chatbot was useless and unhelpful.,Negative,Website Testimonial,2023-09-06 01:44:00,user10206,Sydney,0.76,Subscription,Billing,4,120,Escalated,chatbot was useless and unhelpful,chatbot useless unhelpful
Chatbot was useless and unhelpful.,Negative,Twitter,2023-09-04 16:24:00,user10209,Sydney,0.82,Product A,Product Quality,1,72,Resolved,chatbot was useless and unhelpful,chatbot useless unhelpful
Chatbot was useless and unhelpful.,Negative,IMDb,2023-06-04 16:39:00,user10210,Toronto,0.83,Subscription,Customer Support,3,39,Resolved,chatbot was useless and unhelpful,chatbot useless unhelpful
Fast and friendly communication.,Positive,Twitter,2023-08-16 16:45:00,user10211,London,0.75,Mobile App,Usability,1,69,Escalated,fast and friendly communication,fast friendly communication
Neutral feeling about the experience.,Neutral,ChatSupport,2023-08-08 20:37:00,user10213,London,0.76,Delivery Service,Technical,5,44,Resolved,neutral feeling about the experience,neutral feeling experience
Service quality was consistent.,Neutral,IMDb,2023-06-01 09:39:00,user10214,Mumbai,0.88,Premium Plan,Technical,1,35,Resolved,service quality was consistent,service quality consistent
Great quality and quick delivery.,Positive,Website Testimonial,2023-07-23 00:28:00,user10215,Mumbai,0.85,Delivery Service,Usability,5,51,Resolved,great quality and quick delivery,great quality quick delivery
Chatbot was useless and unhelpful.,Negative,Twitter,2023-08-10 18:30:00,user10216,Singapore,0.89,Mobile App,Technical,4,155,Resolved,chatbot was useless and unhelpful,chatbot useless unhelpful
I will definitely recommend this to friends.,Positive,IMDb,2023-06-23 01:47:00,user10219,Berlin,0.74,Gift Card,Website Experience,3,73,Resolved,i will definitely recommend this to friends,definitely recommend friend
I will definitely recommend this to friends.,Positive,TripAdvisor,2023-09-18 15:06:00,user10220,New York,0.74,Subscription,Product Quality,4,158,Resolved,i will definitely recommend this to friends,definitely recommend friend
Slow response from team.,Negative,TripAdvisor,2023-08-22 07:51:00,user10221,Dubai,0.77,Mobile App,Customer Support,5,112,Resolved,slow response from team,slow response team
Excellent support team.,Positive,Yelp,2023-06-17 08:29:00,user10222,Los Angeles,0.74,Website,Refund,1,142,Resolved,excellent support team,excellent support team
