Text,Sentiment,Source,Date/Time,User ID,Location,Confidence Score,Product/Service,Category,Rating,Response Time (mins),Resolution Status
Product quality is acceptable.,Neutral,Amazon Reviews,2023-06-19 14:13:00,user10024,Dubai,0.79,Gift Card,Delivery,2,145,Escalated
Great quality and quick delivery.,Positive,Website Testimonial,2023-06-12 03:18:00,user10025,Sydney,0.7,Delivery Service,Website Experience,3,111,Escalated
Product arrived damaged.,Negative,Website Testimonial,2023-06-18 12:12:00,user10026,New York,0.88,Gift Card,Customer Support,4,98,Resolved
Amazing service!,Positive,TripAdvisor,2023-07-09 19:32:00,user10027,Paris,0.9,Customer Portal,Billing,5,141,Resolved
Delivery took too long.,Negative,Amazon Reviews,2023-08-17 10:49:00,user10028,Sydney,0.93,Product B,Refund,3,102,Resolved
Very satisfied with the response.,Positive,Yelp,2023-06-05 23:57:00,user10029,New York,0.91,Premium Plan,Refund,2,163,Resolved
"It was okay, nothing special.",Neutral,Twitter,2023-09-27 12:31:00,user10030,Mumbai,0.73,Mobile App,Technical,3,22,Resolved
Customer care was top-notch.,Positive,Amazon Reviews,2023-08-25 05:10:00,user10031,Sydney,0.89,Subscription,Product Quality,4,63,Pending
Not worth the money.,Negative,IMDb,2023-07-11 19:46:00,user10032,Paris,0.7,Delivery Service,Refund,2,88,Pending
"Terrible experience, very disappointed.",Negative,Spotify,2023-09-06 09:12:00,user10033,New York,0.77,Website,Billing,4,85,Resolved
Loved the product!,Positive,Website Testimonial,2023-06-19 03:57:00,user10034,London,0.9,Product A,Delivery,2,90,Resolved
Product quality is acceptable.,Neutral,Spotify,2023-09-12 10:23:00,user10035,New York,0.84,Website,Usability,2,173,Resolved
Instructions were confusing.,Negative,Yelp,2023-06-20 15:38:00,user10036,Los Angeles,0.85,Delivery Service,Billing,2,108,Resolved
User experience is fantastic.,Positive,ChatSupport,2023-08-08 09:53:00,user10037,Paris,0.82,Premium Plan,Customer Support,5,6,Pending
Neutral feeling about the experience.,Neutral,Yelp,2023-09-20 13:58:00,user10038,Dubai,0.83,Product A,Website Experience,5,128,Resolved
Average performance.,Neutral,TripAdvisor,2023-07-11 03:13:00,user10039,Mumbai,0.82,Subscription,Billing,3,60,Resolved
Service quality was consistent.,Neutral,Email,2023-09-18 17:33:00,user10040,Mumbai,0.72,Subscription,Delivery,4,118,Resolved
Response time could be better.,Neutral,Email,2023-06-22 14:51:00,user10041,Sydney,0.72,Delivery Service,Customer Support,2,106,Escalated
Experience was fair.,Neutral,Email,2023-06-10 03:30:00,user10042,Los Angeles,0.94,Subscription,Usability,3,156,Resolved
Service quality was consistent.,Neutral,Twitter,2023-09-13 03:22:00,user10043,Toronto,0.79,Premium Plan,Billing,4,127,Pending
Product arrived damaged.,Negative,ChatSupport,2023-08-26 15:14:00,user10044,Los Angeles,0.83,Premium Plan,Billing,5,58,Resolved
Product quality is acceptable.,Neutral,IMDb,2023-08-17 07:46:00,user10045,New York,0.93,Customer Portal,Delivery,4,63,Resolved
Loved the product!,Positive,ChatSupport,2023-07-23 10:05:00,user10046,Toronto,0.75,Delivery Service,Refund,5,166,Pending
Very satisfied with the response.,Positive,Yelp,2023-06-22 01:48:00,user10047,Berlin,0.78,Mobile App,Billing,3,158,Resolved
Website kept crashing.,Negative,Yelp,2023-08-10 12:10:00,user10048,Berlin,0.81,Customer Portal,Billing,4,75,Resolved
"It was okay, nothing special.",Neutral,Spotify,2023-09-21 20:48:00,user10049,New York,0.81,Product B,Billing,1,20,Pending
Fast and friendly communication.,Positive,Spotify,2023-09-14 05:24:00,user10050,Toronto,0.85,Website,Refund,1,128,Resolved
Received wrong item.,Negative,Yelp,2023-07-29 16:43:00,user10051,Berlin,0.81,Mobile App,Technical,4,152,Pending
"Terrible experience, very disappointed.",Negative,TripAdvisor,2023-09-17 18:39:00,user10052,London,0.71,Website,Billing,4,57,Pending
Experience was fair.,Neutral,Twitter,2023-07-25 23:56:00,user10053,Berlin,0.71,Subscription,Website Experience,4,91,Pending
Fast and friendly communication.,Positive,Email,2023-09-13 20:06:00,user10054,Paris,0.71,Product B,Delivery,4,117,Resolved
Service quality was consistent.,Neutral,Yelp,2023-06-02 10:55:00,user10055,Mumbai,0.81,Subscription,Billing,2,34,Pending
"Met expectations, no issues.",Neutral,Website Testimonial,2023-07-08 18:51:00,user10056,Dubai,0.87,Product A,Website Experience,1,38,Resolved
Fast and friendly communication.,Positive,Yelp,2023-07-16 13:14:00,user10057,New York,0.86,Delivery Service,Billing,2,10,Pending
Chat was fine but not great.,Neutral,ChatSupport,2023-06-08 22:01:00,user10058,London,0.7,Customer Portal,Website Experience,3,42,Resolved
Website kept crashing.,Negative,TripAdvisor,2023-06-25 10:48:00,user10059,Paris,0.89,Product A,Customer Support,5,101,Resolved
Response time could be better.,Neutral,Yelp,2023-08-10 16:19:00,user10060,Singapore,0.91,Website,Website Experience,3,34,Resolved
"Met expectations, no issues.",Neutral,Spotify,2023-06-23 07:36:00,user10061,Berlin,0.91,Product B,Product Quality,1,33,Resolved
Chat was fine but not great.,Neutral,Email,2023-06-20 13:59:00,user10062,Mumbai,0.81,Website,Delivery,3,129,Resolved
Customer support never replied.,Negative,Twitter,2023-07-10 23:40:00,user10063,Los Angeles,0.88,Delivery Service,Refund,3,41,Resolved
Everything worked perfectly.,Positive,Spotify,2023-09-09 11:36:00,user10064,Singapore,0.9,Mobile App,Technical,4,65,Resolved
Instructions were confusing.,Negative,Website Testimonial,2023-07-14 21:59:00,user10065,Paris,0.7,Website,Technical,4,9,Resolved
User experience is fantastic.,Positive,Amazon Reviews,2023-07-08 10:22:00,user10066,Toronto,0.84,Gift Card,Refund,2,61,Resolved
Fast and friendly communication.,Positive,Email,2023-09-12 04:02:00,user10067,Los Angeles,0.76,Mobile App,Delivery,4,134,Pending
Website kept crashing.,Negative,IMDb,2023-07-15 22:50:00,user10068,Sydney,0.91,Customer Portal,Refund,4,135,Resolved
"It was okay, nothing special.",Neutral,Yelp,2023-06-09 01:48:00,user10069,Singapore,0.78,Product A,Product Quality,3,163,Pending
I will definitely recommend this to friends.,Positive,IMDb,2023-06-15 17:35:00,user10070,London,0.94,Customer Portal,Product Quality,2,8,Resolved
Neither good nor bad.,Neutral,Spotify,2023-08-12 20:17:00,user10071,London,0.71,Website,Customer Support,3,174,Resolved
Chatbot was useless and unhelpful.,Negative,TripAdvisor,2023-09-05 17:10:00,user10072,Dubai,0.89,Customer Portal,Product Quality,1,96,Resolved
"Terrible experience, very disappointed.",Negative,Spotify,2023-09-04 09:53:00,user10073,New York,0.95,Product A,Website Experience,4,71,Resolved
Delivery took too long.,Negative,Yelp,2023-07-12 07:45:00,user10074,New York,0.81,Premium Plan,Usability,2,64,Resolved
Website kept crashing.,Negative,Email,2023-06-23 23:15:00,user10075,Paris,0.94,Gift Card,Usability,3,11,Resolved
Neutral feeling about the experience.,Neutral,Amazon Reviews,2023-07-06 22:52:00,user10076,Sydney,0.91,Premium Plan,Usability,3,157,Pending
Customer support never replied.,Negative,IMDb,2023-07-02 23:10:00,user10077,London,0.77,Product A,Delivery,4,139,Resolved
"Terrible experience, very disappointed.",Negative,Twitter,2023-07-04 07:31:00,user10078,Singapore,0.81,Delivery Service,Technical,2,41,Resolved
Average performance.,Neutral,Twitter,2023-08-12 08:18:00,user10079,Los Angeles,0.86,Product A,Website Experience,2,34,Resolved
Product arrived damaged.,Negative,Twitter,2023-09-25 11:49:00,user10080,Sydney,0.76,Delivery Service,Website Experience,4,154,Pending
Average performance.,Neutral,Twitter,2023-09-09 22:45:00,user10081,New York,0.84,Premium Plan,Billing,4,48,Resolved
Customer care was top-notch.,Positive,Twitter,2023-07-22 23:39:00,user10082,Sydney,0.9,Gift Card,Customer Support,4,110,Resolved
Customer support never replied.,Negative,Twitter,2023-07-23 20:43:00,user10083,Toronto,0.79,Customer Portal,Website Experience,3,97,Pending
Customer care was top-notch.,Positive,Amazon Reviews,2023-09-03 19:08:00,user10084,Dubai,0.79,Premium Plan,Technical,1,101,Pending
Fast and friendly communication.,Positive,Spotify,2023-06-15 04:44:00,user10085,Singapore,0.94,Website,Usability,5,74,Resolved
Great quality and quick delivery.,Positive,Spotify,2023-09-10 02:44:00,user10086,New York,0.9,Delivery Service,Refund,1,46,Resolved
Instructions were confusing.,Negative,IMDb,2023-06-11 03:05:00,user10087,Berlin,0.78,Delivery Service,Usability,2,6,Resolved
Great quality and quick delivery.,Positive,Amazon Reviews,2023-08-16 06:33:00,user10088,Mumbai,0.86,Product A,Product Quality,3,102,Resolved
Neither good nor bad.,Neutral,ChatSupport,2023-08-13 14:18:00,user10089,Berlin,0.81,Customer Portal,Product Quality,1,141,Resolved
Received wrong item.,Negative,Amazon Reviews,2023-06-07 05:34:00,user10090,Sydney,0.86,Website,Website Experience,2,108,Pending
Amazing service!,Positive,Amazon Reviews,2023-07-26 11:33:00,user10091,Mumbai,0.89,Delivery Service,Refund,3,47,Pending
User experience is fantastic.,Positive,TripAdvisor,2023-07-06 22:13:00,user10092,Toronto,0.75,Gift Card,Product Quality,4,67,Resolved
Fast and friendly communication.,Positive,TripAdvisor,2023-07-09 04:16:00,user10093,Singapore,0.92,Mobile App,Technical,4,52,Pending
Product arrived damaged.,Negative,IMDb,2023-09-17 01:26:00,user10094,Toronto,0.91,Delivery Service,Product Quality,1,166,Resolved
Experience was fair.,Neutral,IMDb,2023-06-05 15:54:00,user10095,London,0.7,Product A,Billing,5,161,Resolved
Fast and friendly communication.,Positive,Amazon Reviews,2023-07-19 12:04:00,user10096,Paris,0.77,Mobile App,Billing,5,26,Resolved
Customer care was top-notch.,Positive,Email,2023-08-21 07:40:00,user10097,Los Angeles,0.81,Product A,Technical,5,39,Resolved
Product quality is acceptable.,Neutral,TripAdvisor,2023-06-05 18:24:00,user10098,Toronto,0.89,Product B,Billing,1,153,Resolved
Product arrived damaged.,Negative,Spotify,2023-09-25 14:49:00,user10099,Paris,0.83,Premium Plan,Delivery,4,62,Escalated
Customer support never replied.,Negative,Spotify,2023-09-01 11:51:00,user10100,London,0.77,Delivery Service,Website Experience,1,101,Resolved
Slow response from team.,Negative,ChatSupport,2023-06-02 18:03:00,user10101,London,0.89,Website,Refund,1,132,Resolved
Product arrived damaged.,Negative,TripAdvisor,2023-06-17 19:26:00,user10102,Sydney,0.82,Product B,Website Experience,4,90,Resolved
Very satisfied with the response.,Positive,Amazon Reviews,2023-06-16 10:05:00,user10103,Mumbai,0.78,Product A,Website Experience,1,75,Pending
Product arrived damaged.,Negative,TripAdvisor,2023-08-13 08:27:00,user10104,Paris,0.9,Subscription,Usability,1,136,Resolved
"It was okay, nothing special.",Neutral,Website Testimonial,2023-09-25 21:16:00,user10105,Berlin,0.93,Product B,Billing,2,81,Escalated
Not worth the money.,Negative,Amazon Reviews,2023-07-19 02:12:00,user10106,Sydney,0.84,Website,Refund,1,45,Resolved
Loved the product!,Positive,Amazon Reviews,2023-09-05 05:47:00,user10107,London,0.81,Subscription,Billing,1,88,Resolved
Slow response from team.,Negative,ChatSupport,2023-06-08 13:08:00,user10108,New York,0.86,Gift Card,Refund,5,128,Resolved
Very satisfied with the response.,Positive,Website Testimonial,2023-06-25 17:51:00,user10109,Toronto,0.77,Product B,Refund,5,90,Resolved
Everything worked perfectly.,Positive,Amazon Reviews,2023-06-29 14:22:00,user10110,Toronto,0.73,Gift Card,Product Quality,4,75,Pending
Product arrived damaged.,Negative,Twitter,2023-07-14 23:13:00,user10111,Berlin,0.94,Customer Portal,Website Experience,4,92,Resolved
Customer support never replied.,Negative,ChatSupport,2023-07-03 03:06:00,user10112,Paris,0.94,Mobile App,Customer Support,4,5,Resolved
Chatbot was useless and unhelpful.,Negative,Twitter,2023-06-28 22:30:00,user10113,London,0.7,Website,Website Experience,1,67,Resolved
Product arrived damaged.,Negative,Email,2023-06-04 17:01:00,user10114,Singapore,0.79,Customer Portal,Delivery,5,92,Resolved
Product quality is acceptable.,Neutral,Amazon Reviews,2023-07-16 17:15:00,user10115,Berlin,0.76,Product A,Delivery,2,17,Resolved
Great quality and quick delivery.,Positive,Yelp,2023-09-01 14:52:00,user10116,Los Angeles,0.72,Mobile App,Technical,2,47,Resolved
Very satisfied with the response.,Positive,Spotify,2023-08-21 17:06:00,user10117,Dubai,0.91,Delivery Service,Billing,2,167,Resolved
Slow response from team.,Negative,Amazon Reviews,2023-07-18 17:18:00,user10118,Los Angeles,0.72,Premium Plan,Product Quality,4,117,Resolved
Not worth the money.,Negative,IMDb,2023-06-28 07:50:00,user10119,Toronto,0.74,Delivery Service,Refund,2,46,Resolved
Excellent support team.,Positive,Twitter,2023-08-13 10:32:00,user10120,Los Angeles,0.89,Customer Portal,Billing,1,146,Resolved
Website kept crashing.,Negative,Amazon Reviews,2023-06-26 16:58:00,user10121,Berlin,0.74,Subscription,Refund,3,14,Resolved
Not worth the money.,Negative,Twitter,2023-07-21 19:28:00,user10122,New York,0.79,Delivery Service,Usability,1,120,Resolved
Slow response from team.,Negative,Website Testimonial,2023-07-09 19:48:00,user10123,Paris,0.72,Delivery Service,Technical,5,58,Resolved
Service quality was consistent.,Neutral,IMDb,2023-09-26 11:11:00,user10124,Mumbai,0.73,Website,Billing,1,154,Resolved
"Terrible experience, very disappointed.",Negative,ChatSupport,2023-07-17 08:53:00,user10125,Mumbai,0.93,Product B,Technical,1,13,Resolved
I will definitely recommend this to friends.,Positive,TripAdvisor,2023-08-31 16:02:00,user10126,New York,0.84,Website,Billing,3,170,Resolved
Everything worked perfectly.,Positive,Website Testimonial,2023-08-17 01:22:00,user10127,London,0.93,Gift Card,Billing,2,60,Resolved
Customer care was top-notch.,Positive,Yelp,2023-09-20 11:34:00,user10128,Mumbai,0.75,Product B,Usability,2,5,Resolved
Average performance.,Neutral,IMDb,2023-09-07 02:42:00,user10129,Paris,0.85,Subscription,Billing,3,43,Pending
Great quality and quick delivery.,Positive,TripAdvisor,2023-06-21 01:28:00,user10130,Berlin,0.86,Product B,Refund,3,160,Resolved
"Met expectations, no issues.",Neutral,Email,2023-08-28 19:53:00,user10131,Paris,0.94,Delivery Service,Refund,5,136,Resolved
Response time could be better.,Neutral,Yelp,2023-08-02 15:53:00,user10132,Singapore,0.9,Website,Product Quality,4,26,Resolved
Neither good nor bad.,Neutral,ChatSupport,2023-07-28 15:44:00,user10133,Los Angeles,0.87,Mobile App,Usability,1,180,Resolved
Received wrong item.,Negative,Website Testimonial,2023-06-23 17:43:00,user10134,Toronto,0.78,Website,Usability,1,167,Resolved
Slow response from team.,Negative,Yelp,2023-06-29 18:28:00,user10135,Sydney,0.86,Product B,Customer Support,5,45,Resolved
"Met expectations, no issues.",Neutral,TripAdvisor,2023-08-09 21:02:00,user10136,Dubai,0.93,Gift Card,Product Quality,3,102,Resolved
Slow response from team.,Negative,Yelp,2023-08-30 15:57:00,user10137,Paris,0.91,Mobile App,Customer Support,3,119,Resolved
Great quality and quick delivery.,Positive,Email,2023-07-16 06:27:00,user10138,Paris,0.81,Product B,Website Experience,2,23,Pending
User experience is fantastic.,Positive,Yelp,2023-08-14 05:40:00,user10139,London,0.91,Website,Delivery,2,10,Escalated
Average performance.,Neutral,ChatSupport,2023-08-26 13:33:00,user10140,Berlin,0.89,Mobile App,Website Experience,4,114,Pending
Not worth the money.,Negative,Twitter,2023-09-13 03:13:00,user10141,New York,0.8,Premium Plan,Technical,5,163,Resolved
Neutral feeling about the experience.,Neutral,TripAdvisor,2023-06-19 19:20:00,user10142,Paris,0.95,Premium Plan,Delivery,2,159,Pending
Slow response from team.,Negative,Twitter,2023-06-16 18:36:00,user10143,New York,0.81,Product A,Delivery,2,177,Resolved
Customer support never replied.,Negative,Twitter,2023-08-29 20:07:00,user10144,Paris,0.85,Subscription,Refund,3,133,Pending
Amazing service!,Positive,Yelp,2023-08-28 07:01:00,user10145,London,0.72,Subscription,Delivery,4,6,Resolved
Amazing service!,Positive,Amazon Reviews,2023-06-02 02:14:00,user10146,Toronto,0.81,Subscription,Product Quality,3,137,Resolved
Not worth the money.,Negative,Yelp,2023-06-24 00:45:00,user10147,Dubai,0.76,Premium Plan,Website Experience,2,158,Escalated
Loved the product!,Positive,Website Testimonial,2023-06-07 23:49:00,user10148,London,0.92,Premium Plan,Technical,2,84,Pending
Not worth the money.,Negative,Amazon Reviews,2023-06-21 05:50:00,user10149,Toronto,0.74,Delivery Service,Delivery,3,109,Resolved
Loved the product!,Positive,Email,2023-07-16 22:33:00,user10150,Sydney,0.89,Product A,Product Quality,5,62,Resolved
Loved the product!,Positive,TripAdvisor,2023-09-19 16:43:00,user10151,London,0.73,Product A,Delivery,3,13,Resolved
"Met expectations, no issues.",Neutral,Website Testimonial,2023-08-14 05:15:00,user10152,Paris,0.78,Premium Plan,Billing,3,162,Resolved
I will definitely recommend this to friends.,Positive,Yelp,2023-09-04 01:43:00,user10153,Berlin,0.91,Mobile App,Billing,5,17,Resolved
Chat was fine but not great.,Neutral,Website Testimonial,2023-08-21 06:10:00,user10154,London,0.83,Customer Portal,Delivery,1,116,Resolved
Very satisfied with the response.,Positive,Amazon Reviews,2023-09-02 20:42:00,user10155,Mumbai,0.77,Website,Delivery,4,7,Resolved
Customer support never replied.,Negative,Yelp,2023-09-27 02:56:00,user10156,Paris,0.72,Customer Portal,Delivery,2,139,Pending
Excellent support team.,Positive,Yelp,2023-09-04 12:29:00,user10157,Berlin,0.72,Product A,Technical,3,18,Resolved
Very satisfied with the response.,Positive,ChatSupport,2023-08-29 21:45:00,user10158,New York,0.74,Customer Portal,Billing,2,94,Resolved
Product arrived damaged.,Negative,TripAdvisor,2023-09-17 19:53:00,user10159,Mumbai,0.75,Product A,Product Quality,1,160,Resolved
Instructions were confusing.,Negative,TripAdvisor,2023-09-17 04:34:00,user10160,Paris,0.91,Website,Technical,5,83,Resolved
Fast and friendly communication.,Positive,Yelp,2023-09-12 03:44:00,user10161,Sydney,0.9,Subscription,Usability,1,151,Resolved
Experience was fair.,Neutral,Email,2023-09-19 00:15:00,user10162,Dubai,0.73,Mobile App,Billing,1,153,Resolved
Excellent support team.,Positive,Twitter,2023-07-27 11:28:00,user10163,Sydney,0.88,Subscription,Website Experience,5,32,Resolved
Product quality is acceptable.,Neutral,TripAdvisor,2023-09-16 10:45:00,user10164,Toronto,0.77,Premium Plan,Billing,4,18,Resolved
Chat was fine but not great.,Neutral,Email,2023-07-18 11:17:00,user10165,Paris,0.9,Website,Customer Support,4,170,Pending
Everything worked perfectly.,Positive,ChatSupport,2023-07-08 10:13:00,user10166,Dubai,0.91,Gift Card,Usability,3,82,Resolved
Instructions were confusing.,Negative,Twitter,2023-06-25 21:53:00,user10167,New York,0.86,Subscription,Technical,3,67,Pending
"Terrible experience, very disappointed.",Negative,Website Testimonial,2023-09-20 20:18:00,user10168,Sydney,0.73,Product A,Usability,5,69,Resolved
Delivery took too long.,Negative,Spotify,2023-06-13 10:21:00,user10169,Paris,0.79,Product B,Website Experience,1,157,Resolved
Not worth the money.,Negative,Spotify,2023-06-16 02:19:00,user10170,New York,0.81,Mobile App,Usability,3,121,Escalated
"It was okay, nothing special.",Neutral,ChatSupport,2023-08-15 05:36:00,user10171,Singapore,0.91,Website,Delivery,2,137,Pending
Customer care was top-notch.,Positive,Twitter,2023-06-14 08:46:00,user10172,New York,0.82,Website,Product Quality,3,73,Resolved
Amazing service!,Positive,Yelp,2023-08-18 06:49:00,user10173,London,0.81,Premium Plan,Billing,2,72,Resolved
Received wrong item.,Negative,ChatSupport,2023-06-13 19:12:00,user10174,New York,0.94,Premium Plan,Delivery,4,156,Escalated
Excellent support team.,Positive,Spotify,2023-08-15 11:45:00,user10175,Toronto,0.77,Product A,Refund,4,52,Resolved
Very satisfied with the response.,Positive,ChatSupport,2023-06-14 13:38:00,user10176,Singapore,0.8,Gift Card,Product Quality,3,86,Resolved
Amazing service!,Positive,ChatSupport,2023-08-30 00:52:00,user10177,Singapore,0.89,Website,Refund,3,81,Pending
Product quality is acceptable.,Neutral,Twitter,2023-09-09 02:20:00,user10178,New York,0.84,Customer Portal,Refund,1,54,Resolved
Chat was fine but not great.,Neutral,Spotify,2023-07-20 23:07:00,user10179,Mumbai,0.73,Delivery Service,Delivery,3,158,Resolved
User experience is fantastic.,Positive,Spotify,2023-08-01 11:29:00,user10180,London,0.77,Product B,Refund,4,141,Resolved
Chat was fine but not great.,Neutral,IMDb,2023-08-20 10:06:00,user10181,Toronto,0.94,Product A,Customer Support,2,33,Escalated
Everything worked perfectly.,Positive,Email,2023-07-17 18:31:00,user10182,Mumbai,0.72,Product A,Website Experience,3,179,Resolved
Average performance.,Neutral,Amazon Reviews,2023-09-09 08:23:00,user10183,Paris,0.79,Mobile App,Website Experience,3,146,Resolved
Experience was fair.,Neutral,Yelp,2023-07-01 23:58:00,user10184,Sydney,0.73,Delivery Service,Customer Support,2,27,Resolved
"It was okay, nothing special.",Neutral,ChatSupport,2023-06-02 09:18:00,user10185,Los Angeles,0.72,Website,Website Experience,5,54,Resolved
Product quality is acceptable.,Neutral,ChatSupport,2023-06-29 10:47:00,user10186,Sydney,0.73,Gift Card,Delivery,2,123,Resolved
Product arrived damaged.,Negative,Spotify,2023-09-05 04:27:00,user10187,Singapore,0.77,Product A,Product Quality,3,178,Resolved
Customer care was top-notch.,Positive,Website Testimonial,2023-09-10 22:06:00,user10188,Los Angeles,0.86,Gift Card,Delivery,3,66,Resolved
Response time could be better.,Neutral,Yelp,2023-09-10 18:11:00,user10189,Berlin,0.73,Product B,Billing,1,112,Resolved
Customer care was top-notch.,Positive,Amazon Reviews,2023-07-26 22:59:00,user10190,New York,0.73,Gift Card,Refund,3,70,Resolved
Great quality and quick delivery.,Positive,Amazon Reviews,2023-06-02 23:46:00,user10191,Paris,0.94,Delivery Service,Customer Support,5,146,Pending
Chat was fine but not great.,Neutral,Website Testimonial,2023-09-29 17:14:00,user10192,Paris,0.75,Product B,Billing,1,45,Resolved
Very satisfied with the response.,Positive,Twitter,2023-09-08 18:35:00,user10193,London,0.8,Customer Portal,Technical,2,163,Pending
Customer support never replied.,Negative,Website Testimonial,2023-07-30 16:33:00,user10194,Toronto,0.85,Website,Technical,2,88,Resolved
Customer support never replied.,Negative,Email,2023-06-21 23:26:00,user10195,Mumbai,0.92,Website,Technical,4,78,Pending
Excellent support team.,Positive,IMDb,2023-08-14 06:31:00,user10196,Berlin,0.82,Gift Card,Website Experience,2,44,Resolved
User experience is fantastic.,Positive,TripAdvisor,2023-07-15 02:12:00,user10197,Berlin,0.75,Mobile App,Usability,5,42,Resolved
Delivery took too long.,Negative,Email,2023-06-24 21:16:00,user10198,New York,0.73,Website,Delivery,4,44,Resolved
Chat was fine but not great.,Neutral,Amazon Reviews,2023-07-09 14:13:00,user10199,Paris,0.76,Product A,Usability,5,156,Resolved
Not worth the money.,Negative,Email,2023-07-23 19:45:00,user10200,Sydney,0.82,Website,Product Quality,4,36,Pending
Average performance.,Neutral,Twitter,2023-09-06 11:27:00,user10201,New York,0.8,Product A,Product Quality,2,15,Resolved
Great quality and quick delivery.,Positive,Email,2023-06-20 10:51:00,user10202,New York,0.82,Delivery Service,Product Quality,4,79,Resolved
User experience is fantastic.,Positive,TripAdvisor,2023-08-23 03:18:00,user10203,Toronto,0.93,Product A,Billing,4,137,Escalated
"Met expectations, no issues.",Neutral,TripAdvisor,2023-08-20 00:53:00,user10204,Paris,0.71,Gift Card,Customer Support,2,32,Escalated
Delivery took too long.,Negative,Spotify,2023-09-21 15:18:00,user10205,Sydney,0.81,Mobile App,Product Quality,3,32,Resolved
Chatbot was useless and unhelpful.,Negative,Website Testimonial,2023-09-06 01:44:00,user10206,Sydney,0.76,Subscription,Billing,4,120,Escalated
Experience was fair.,Neutral,Email,2023-07-29 22:39:00,user10207,Toronto,0.77,Subscription,Customer Support,1,7,Resolved
Not worth the money.,Negative,TripAdvisor,2023-08-15 07:13:00,user10208,Sydney,0.7,Mobile App,Customer Support,1,154,Pending
Chatbot was useless and unhelpful.,Negative,Twitter,2023-09-04 16:24:00,user10209,Sydney,0.82,Product A,Product Quality,1,72,Resolved
Chatbot was useless and unhelpful.,Negative,IMDb,2023-06-04 16:39:00,user10210,Toronto,0.83,Subscription,Customer Support,3,39,Resolved
Fast and friendly communication.,Positive,Twitter,2023-08-16 16:45:00,user10211,London,0.75,Mobile App,Usability,1,69,Escalated
Average performance.,Neutral,Yelp,2023-08-15 12:22:00,user10212,Mumbai,0.86,Product A,Product Quality,2,171,Resolved
